field,code,meaning,description,risk_direction,emb_dim
category,0,本企业作为原告胜诉 (plaintiff won),通常说明企业能通过司法途径维护债权，回款或权益实现概率较高，经营与现金流压力相对可控。相较败诉或被执行情形，通常指向更低的破产/违约风险。,-0.7,1537
category,1,本企业作为原告败诉 (plaintiff failed),通常反映回款、合同履约或权利主张受挫，可能带来现金流压力与经营不确定性。相对而言指向更高的违约/破产风险，因败诉可能导致损失、赔付或资产占用增加。,0.72,1537
category,2,本企业作为被告胜诉 (defendant won),通常说明企业在该纠纷中抗辩有效，未被判承担赔付或履约责任，短期现金流与负债压力相对较小。相较败诉情形，通常指向更低的破产/违约风险，但仍需结合整体经营与其他债务情况判断。,-0.6,1537
category,3,本企业作为被告败诉 (defendant failed),通常反映现金流、履约或管理存在压力，可能需承担赔偿/执行义务。相对而言指向更高破产风险，因败诉会增加负债与资金占用，并可能暴露经营恶化。,0.8,1537
cause,0,金融借款合同纠纷 / 借款合同纠纷 / 小额借款合同纠纷 / 金融不良债权追偿纠纷 / 企业借贷纠纷 / 民间借贷纠纷 / 追偿权纠纷 (金融·借贷类),通常反映融资周转紧张、现金流承压或历史债务未清。相较一般经营纠纷，更指向较高破产/违约风险，因其直接关联偿债能力与外部融资可得性。,0.82,1537
cause,1,买卖合同纠纷 / 买卖合同 (买卖类),通常反映应收账款回款、供货履约或库存周转压力，说明交易链条可能承压。相对而言偏向更高破产/违约风险，因持续买卖纠纷常意味着现金流紧张、合作稳定性下降。,0.72,1537
cause,2,租赁合同纠纷 (租赁类),通常反映租金、押金或履约争议，说明现金流、合同履约或资产使用压力较大。相对而言偏向更高破产/违约风险，因持续经营稳定性与支付能力可能受影响。,0.7,1537
cause,3,工程合同纠纷 / 建设工程施工合同纠纷 / 建设工程分包合同纠纷 / 加工合同纠纷 / 运输合同纠纷 (工程·承揽·运输类),多见于工程回款慢、垫资重、履约链条长，易致现金流紧张。相较一般商事纠纷，通常指向较高破产/违约风险，因项目周期长、应收账款和成本超支压力更大。,0.78,1537
cause,4,债权纠纷 / 债权转让合同纠纷 / 债务转移合同纠纷 / 债权人代位权纠纷 (债权类),通常反映应收债权流转、债务重组或回款受阻，说明资金周转和履约压力较大。相对而言，指向较高破产风险，因其往往伴随现金流紧张、债务链条复杂及违约纠纷增多。,0.8,1537
cause,5,其他合同 / 合同纠纷 / 不当得利纠纷 / 商品房预售合同纠纷 / 劳务合同纠纷 / 建设工程合同纠纷 / 物业服务合同纠纷 / 商品房销售合同纠纷 / 旅游合同纠纷 / 委托合同纠纷 / 劳动合同纠纷 (其他合同类),多属日常经营或履约争议，常反映回款、工程、用工或服务结算压力，可能占用现金流。相较纯商业扩张类纠纷，通常指向中等偏高的违约/破产风险，但单案不足以定论。,0.6,1537
cause,6,知识产权与竞争纠纷 / 知识产权合同纠纷 / 知识产权权属、侵权纠纷 / 侵权纠纷 / 不正当竞争纠纷 / 侵害商标权纠纷 (知识产权·竞争类),通常反映品牌、渠道或技术受冲击，可能带来赔偿、禁令及销售下滑压力。相对而言指向较高破产/违约风险，因核心经营稳定性和现金流更易受扰动。,0.7,1537
cause,7,劳动争议、人事争议 / 劳动争议 / 人事争议 / 追索劳动报酬纠纷 (劳动·人事类),通常反映工资、社保或补偿金支付压力，说明现金流或用工管理可能承压。相对而言偏向更高破产/违约风险，因其常与短期资金紧张、经营波动或劳动纠纷累积有关。,0.7,1537
cause,8,侵权责任纠纷 / 事故责任纠纷 (侵权责任类),通常反映安全、管理或赔付压力，可能带来一次性赔偿、停工及声誉损失。相对而言多指向较高破产风险，因突发负债和现金流冲击较直接。,0.78,1537
